year,HaFlood23,permit,trsFields,Water23,KgAIPest,nWater23,nRSimages23,FieldSizeHa,KgHaAIPest,KgHaAIInsectOnly,KgHaAIHerbOnly,KgHaAIInsectFung,KgHaAIFungOnly,MonthActive,TotActiveHaK,MonthMinWater23,DayActive,Month_wOffset,ihsKgHaAIInsectOnly100,ihsKgHaAIHerbOnly100,ihsKgHaAIInsectFung100,ihsKgHaAIFungOnly100,commShort,rcommShort,FarmSizeHa,NearFloodAreaMean,NearFloodAreaMax,Precip_mm
2020,0,1500007,"31S28E14",0,274.5476,0,27,22.66242,12.11466,0,0,12.08275,0,10,29.36573,,293,10.1,0,0,7.7900967,0,"GRAPE, WINE","GRAPE, WINE",884.4413,.38,1.44,144.4
2021,0,1500007,"31S28E14",0,2466.664,0,27,22.66242,108.8438,.0532304,0,108.7448,0,12,40.10204,,335,12.1,2.3739008,0,9.9873211,0,"GRAPE, WINE","GRAPE, WINE",886.6671,.38,1.44,134.8
2022,0,1500007,"31S28E14",0,67.32706,0,27,22.66242,2.970868,2.870995,0,0,0,11,23.60613,,332,10.9,6.3529791,0,0,0,"TOMATO PROCESS","TOMATO PROCESS",917.0185,.38,1.44,94.1
2023,0,1500007,"31S28E14",0,114.6265,0,27,22.66242,5.058,2.433376,0,0,.0560545,11,51.22422,,334,11.1,6.187601,0,0,2.4247491,"TOMATO PROCESS","TOMATO PROCESS",886.6671,.38,1.44,259.6
2019,0,1500007,"31S28E14",0,297.1239,0,27,22.66242,13.11087,0,0,12.97296,0,1,188.8055,,351,1.1,0,0,7.8611849,0,"GRAPE, WINE","GRAPE, WINE",1118.147,.38,1.44,250.7
2020,0,1500007,"31S28E14",0,422.0922,0,27,30.35145,13.90682,2.446803,5.541909,0,5.896836,10,29.36573,,293,10.1,6.1931039,7.0106572,0,7.072734,"TOMATO PROCESS","TOMATO PROCESS",884.4413,3.66,9.18,144.4
2021,0,1500007,"31S28E14",0,371.0568,0,27,30.35145,12.22534,2.449609,4.571131,0,5.204599,12,40.10204,,335,12.1,6.19425,6.8180793,0,6.9478609,"TOMATO PROCESS","TOMATO PROCESS",886.6671,3.66,9.18,134.8
2022,0,1500007,"31S28E14",0,299.9565,0,27,15.17572,19.76554,5.005352,4.971954,0,5.88428,11,23.60613,,332,10.9,6.9088261,6.9021312,0,7.0706024,"TOMATO PROCESS","TOMATO PROCESS",917.0185,3.66,9.18,94.1
2022,0,1500007,"31S28E14",0,46.09578,0,27,15.17572,3.037468,0,2.6775,0,.359968,11,23.60613,,332,10.9,0,6.2832043,0,4.2767702,"CARROT","CARROT",917.0185,3.66,9.18,94.1
2023,0,1500007,"31S28E14",0,465.246,0,27,30.35145,15.32863,.0560523,1.401062,0,5.543068,11,51.22422,,334,11.1,2.4247116,5.6355603,0,7.0108663,"CARROT","CARROT",886.6671,3.83,9.36,259.6
2019,0,1500007,"31S28E14",0,408.2378,0,27,30.35145,13.45036,2.111004,2.21661,0,3.244021,1,188.8055,,351,1.1,6.0454867,6.0943016,0,6.4751333,"TOMATO PROCESS","TOMATO PROCESS",1118.147,3.66,9.18,250.7
2019,0,1500007,"31S28E14",0,36.83035,0,27,24.28116,1.516828,0,1.341618,0,.1752108,11,7.449638,,317,11.1,0,5.5922073,0,3.5573656,"CARROT","CARROT",1118.147,15.96,24.12,250.7
2020,0,1500007,"31S28E14",0,358.8524,0,27,12.14058,29.5581,.1118305,2.802123,3.56337,11.38715,10,29.36573,,293,10.1,3.1095391,6.328698,6.5690261,7.7308029,"CARROT","CARROT",884.4413,15.96,24.12,144.4
2020,0,1500007,"31S28E14",0,0,0,27,12.14058,0,0,0,0,0,10,29.36573,,293,10.1,0,0,0,0,"ONION DRY ETC","ONION DRY ETC",884.4413,15.96,24.12,144.4
2021,0,1500007,"31S28E14",0,286.6292,0,27,24.28116,11.80459,.0352587,2.27939,0,9.489944,12,40.10204,,335,12.1,1.9728042,6.1222299,0,7.5485504,"ONION DRY ETC","ONION DRY ETC",886.6671,15.96,24.12,134.8
2022,0,1500007,"31S28E14",0,239.9955,0,27,24.28116,9.884019,2.50344,2.486547,0,2.942052,11,23.60613,,332,10.9,6.2159873,6.2092166,0,6.3774277,"TOMATO PROCESS","TOMATO PROCESS",917.0185,15.96,24.12,94.1
2023,0,1500007,"31S28E14",0,350.4164,0,27,24.28116,14.43162,2.953504,2.601321,0,4.972836,11,51.22422,,334,11.1,6.3813124,6.2543404,0,6.9023087,"TOMATO PROCESS","TOMATO PROCESS",886.6671,15.81667,23.94,259.6
2019,0,1500007,"31S28E14",0,285.5771,0,27,24.28116,11.76126,.4423503,5.63521,0,5.619884,1,188.8055,,351,1.1,4.482792,7.0273526,0,7.0246292,"POTATO","POTATO",1118.147,15.95769,24.12,250.7
2019,8.28,1500007,"31S29E17",0,0,24,27,17.80618,0,0,0,0,0,1,188.8055,3,351,1.1,0,0,0,0,"GRAPE, WINE","GRAPE, WINE",1118.147,19.86333,27.09,263.9
2019,8.19,1500007,"31S29E17",0,0,23,27,32.37488,0,0,0,0,0,1,188.8055,4,351,1.1,0,0,0,0,"GRAPE, WINE","GRAPE, WINE",1118.147,14.84,20.61,263.9
2019,3.87,1500007,"31S29E17",0,0,22,27,8.903092,0,0,0,0,0,1,188.8055,4,351,1.1,0,0,0,0,"GRAPE, WINE","GRAPE, WINE",1118.147,15.00333,20.79,263.9
2020,0,1500007,"31S29E20",0,1164.039,0,27,31.56551,36.87693,36.2591,0,0,.6178322,10,29.36573,,293,10.1,8.8890077,0,0,4.8168446,"ALMOND","ALMOND",884.4413,15.56667,20.88,147.5
2021,0,1500007,"31S29E20",0,360.7587,0,27,31.56551,11.42889,.2789125,5.879947,0,.4952573,12,40.10204,,335,12.1,4.0217816,7.0698658,0,4.5957414,"ALMOND","ALMOND",886.6671,15.56667,20.88,140.9
2022,0,1500007,"31S29E20",0,1418.537,0,27,31.56551,44.93947,36.42282,8.01779,0,.4988613,11,23.60613,,332,10.9,8.8935128,7.3799806,0,4.6029906,"ALMOND","ALMOND",917.0185,15.56667,20.88,96.6
2023,0,1500007,"31S29E20",0,354.1385,0,27,31.56551,11.21916,.6975483,8.56643,0,.3860061,11,51.22422,,334,11.1,4.9381852,7.4461688,0,4.3465832,"ALMOND","ALMOND",886.6671,15.56667,20.88,262
2019,0,1500007,"31S29E20",0,382.0213,0,27,31.56551,12.10249,.6090613,5.849163,0,.8706855,1,188.8055,,351,1.1,4.8025484,7.0646166,0,5.1598759,"ALMOND","ALMOND",1118.147,15.56667,20.88,263.9
2020,0,1500007,"31S29E20",0,95.86113,0,27,14.16401,6.767937,1.929447,4.372385,0,.4661054,10,29.36573,,293,10.1,5.9555574,6.7736273,0,4.535089,"SWEET POTATO","SWEET POTATO",884.4413,15.58333,20.79,147.5
2020,0,1500007,"31S29E20",0,42.96874,0,27,14.16401,3.033656,0,2.683234,0,.3504222,10,29.36573,,293,10.1,0,6.2853436,0,4.2499043,"CARROT","CARROT",884.4413,15.58333,20.79,147.5
2021,0,1500007,"31S29E20",0,365.5422,0,27,28.32802,12.90391,.0210587,1.401062,3.56337,4.020543,12,40.10204,,335,12.1,1.4900053,5.6355603,6.5690262,6.6897358,"CARROT","CARROT",886.6671,15.58333,20.79,140.9
2022,0,1500007,"31S29E20",0,594.9262,0,27,14.16401,42.00267,1.092077,5.902247,3.568931,15.82358,11,23.60613,,332,10.9,5.3864197,7.0736513,6.5705853,8.0598186,"CARROT","CARROT",917.0185,15.58333,20.79,96.6
2022,0,1500007,"31S29E20",0,321.7073,0,27,14.16401,22.71301,.9211904,13.84942,0,7.814561,11,23.60613,,332,10.9,5.2162583,7.9265611,0,7.3543066,"POTATO","POTATO",917.0185,11.28462,20.34,96.6
2023,0,1500007,"31S29E20",0,87.94975,0,27,28.32802,3.104691,.6679607,2.153963,0,.2827674,11,51.22422,,334,11.1,4.8948475,6.0656321,0,4.0354991,"SWEET POTATO","SWEET POTATO",886.6671,15.58333,20.79,262
2019,0,1500007,"31S29E20",0,0,0,27,28.32802,0,0,0,0,0,1,188.8055,,351,1.1,0,0,0,0,"INDUSTRIAL HEMP","INDUSTRIAL HEMP",1118.147,14.298,20.79,263.9
2020,.09,1500007,"31S29E20",1,422.0922,7,27,30.35145,13.90682,2.446803,5.541909,0,5.896836,10,29.36573,1,293,10.1,6.1931039,7.0106572,0,7.072734,"TOMATO PROCESS","TOMATO PROCESS",884.4413,15.64333,20.88,146.1015
2021,.09,1500007,"31S29E20",0,371.0568,7,27,30.35145,12.22534,2.449609,4.571131,0,5.204599,12,40.10204,1,335,12.1,6.19425,6.8180793,0,6.9478609,"TOMATO PROCESS","TOMATO PROCESS",886.6671,15.64333,20.88,138.942
2022,.09,1500007,"31S29E20",0,438.0104,7,27,30.35145,14.43128,2.714014,2.485977,0,5.324169,11,23.60613,1,332,10.9,6.2967496,6.2089871,0,6.9705748,"TOMATO PROCESS","TOMATO PROCESS",917.0185,15.64333,20.88,95.99397
2023,0,1500007,"31S29E20",0,437.9858,0,27,15.17572,28.86094,5.90661,5.201408,0,9.94501,11,51.22422,,334,11.1,7.0743901,6.9472477,0,7.5953886,"TOMATO PROCESS","TOMATO PROCESS",886.6671,15.64333,20.88,257.5106
2023,0,1500007,"31S29E20",0,45.96831,0,27,15.17572,3.029069,0,2.6775,0,.3515688,11,51.22422,,334,11.1,0,6.2832043,0,4.2531696,"CARROT","CARROT",886.6671,15.64333,20.88,257.5106
2019,.09,1500007,"31S29E20",0,0,7,27,30.35145,0,0,0,0,0,1,188.8055,1,351,1.1,0,0,0,0,"INDUSTRIAL HEMP","INDUSTRIAL HEMP",1118.147,2.73,3.15,260.8698
2019,.09,1500007,"31S29E20",1,408.2378,7,27,30.35145,13.45036,2.111004,2.21661,0,3.244021,2,9.574352,1,58,2.1,6.0454867,6.0943016,0,6.4751333,"TOMATO PROCESS","TOMATO PROCESS",1118.147,15.64333,20.88,260.8698
2020,0,1500007,"31S29E20",0,0,0,27,30.35145,0,0,0,0,0,10,29.36573,,293,10.1,0,0,0,0,"WHEAT","WHEAT",884.4413,15.61667,20.88,146.1805
2021,0,1500007,"31S29E20",0,97.11272,0,27,15.17572,6.399214,1.711248,4.307003,0,.3809638,12,40.10204,,335,12.1,5.8355488,6.7585609,0,4.3334386,"SWEET POTATO","SWEET POTATO",886.6671,15.61667,20.88,139.0526
2021,0,1500007,"31S29E20",0,45.90994,0,27,15.17572,3.025222,0,2.674201,0,.3510208,12,40.10204,,335,12.1,0,6.2819716,0,4.2516105,"CARROT","CARROT",886.6671,15.61667,20.88,139.0526
2022,0,1500007,"31S29E20",0,443.8064,0,27,30.35145,14.62225,0,1.401062,0,5.413269,11,23.60613,,332,10.9,0,5.6355603,0,6.9871713,"CARROT","CARROT",917.0185,15.61667,20.88,96.0282
2023,0,1500007,"31S29E20",0,472.4466,0,27,30.35145,15.56587,2.953305,3.736099,0,4.972505,11,51.22422,,334,11.1,6.381245,6.6163611,0,6.9022422,"TOMATO PROCESS","TOMATO PROCESS",886.6671,15.61667,20.88,257.8215
2019,0,1500007,"31S29E20",0,6315.867,0,27,30.35145,208.0911,.0558656,3.16473,1.781685,5.912893,7,5.234577,,199,7.1,2.4214273,6.4503877,5.8758845,7.0754533,"CARROT","CARROT",1118.147,15.61667,20.88,261.041
2019,0,1500007,"31S29E20",0,1000.377,0,27,30.35145,32.95977,0,1.773757,0,17.02166,1,188.8055,,351,1.1,0,5.8714254,0,8.1328039,"ONION DRY ETC","ONION DRY ETC",1118.147,12.75187,20.88,261.041
2020,0,1500007,"31S29E21",0,279.4502,0,27,23.0671,12.11466,0,0,12.08276,0,10,29.36573,,293,10.1,0,0,7.7900968,0,"GRAPE, WINE","GRAPE, WINE",884.4413,15.62667,21.78,147.5
2021,0,1500007,"31S29E21",0,140.0231,0,27,18.21087,7.688982,2.771007,0,4.732474,0,12,40.10204,,335,12.1,6.3175313,0,6.8527667,0,"TOMATO PROCESS","TOMATO PROCESS",886.6671,15.61667,21.51,140.9
2022,0,1500007,"31S29E21",0,54.10243,0,27,18.21087,2.970887,2.871003,0,0,0,11,23.60613,,332,10.9,6.3529818,0,0,0,"TOMATO PROCESS","TOMATO PROCESS",917.0185,15.61667,21.51,96.6
2023,0,1500007,"31S29E21",0,92.10992,0,27,18.21087,5.057963,2.433364,0,0,.05603,11,51.22422,,334,11.1,6.1875961,0,0,2.4243195,"TOMATO PROCESS","TOMATO PROCESS",886.6671,15.61667,21.51,262
2019,0,1500007,"31S29E21",0,302.4334,0,27,23.0671,13.11103,0,0,12.97291,0,1,188.8055,,351,1.1,0,0,7.8611809,0,"GRAPE, WINE","GRAPE, WINE",1118.147,15.62667,21.78,263.9
2020,0,1500007,"31S29E21",0,97.10722,0,27,22.66242,4.284945,3.171683,0,.913827,0,10,29.36573,,293,10.1,6.4525823,0,5.2082333,0,"TOMATO PROCESS","TOMATO PROCESS",884.4413,14.9,21.51,146.5738
2021,0,1500007,"31S29E21",0,89.7338,0,27,30.35145,2.956491,2.771007,0,0,0,12,40.10204,,335,12.1,6.3175313,0,0,0,"TOMATO PROCESS","TOMATO PROCESS",886.6671,14.90333,21.42,140.5821
2022,0,1500007,"31S29E21",0,90.17038,0,27,30.35145,2.970876,2.870992,0,0,0,11,23.60613,,332,10.9,6.352978,0,0,0,"TOMATO PROCESS","TOMATO PROCESS",917.0185,14.90333,21.42,95.99064
2023,0,1500007,"31S29E21",0,153.516,0,27,30.35145,5.057948,2.433337,0,0,.056041,11,51.22422,,334,11.1,6.1875851,0,0,2.4245121,"TOMATO PROCESS","TOMATO PROCESS",886.6671,14.90333,21.42,266.7424
2019,0,1500007,"31S29E21",0,0,0,27,22.66242,0,0,0,0,0,1,188.8055,,351,1.1,0,0,0,0,"INDUSTRIAL HEMP","INDUSTRIAL HEMP",1118.147,14.9,21.51,265.4675
2020,0,1500007,"31S29E21",0,199.8933,0,27,5.260918,37.9959,36.25904,.0337979,0,.6177086,10,29.36573,,293,10.1,8.8890063,1.9321615,0,4.8166445,"ALMOND","ALMOND",884.4413,15.6,21.06,147.5
2021,0,1500007,"31S29E21",0,51.64271,0,27,5.260918,9.816293,.232102,5.879947,0,.4952774,12,40.10204,,335,12.1,3.8382028,7.0698658,0,4.595782,"ALMOND","ALMOND",886.6671,15.6,21.06,140.9
2022,0,1500007,"31S29E21",0,236.4287,0,27,5.260918,44.94057,36.42344,8.018583,0,.4985537,11,23.60613,,332,10.9,8.8935298,7.3800795,0,4.602374,"ALMOND","ALMOND",917.0185,15.6,21.06,96.6
2023,0,1500007,"31S29E21",0,56.52706,0,27,5.260918,10.74471,.222076,8.566916,0,.3859515,11,51.22422,,334,11.1,3.7940884,7.4462254,0,4.3464416,"ALMOND","ALMOND",886.6671,15.6,21.06,262
2019,0,1500007,"31S29E21",0,23.95326,0,27,5.260918,4.553056,.506726,.0488863,0,.8699368,1,188.8055,,351,1.1,4.6186298,2.290359,0,5.1590157,"ALMOND","ALMOND",1118.147,15.6,21.06,263.9
2019,.45,1500007,"31S29E21",0,4.606414,1,27,28.32802,.1626098,0,.1626098,0,0,11,7.449638,8,317,11.1,0,3.4828597,0,0,"ONION DRY ETC","ONION DRY ETC",1118.147,15.63,21.15,260.7758
2020,.45,1500007,"31S29E21",0,805.9211,1,27,28.32802,28.44961,0,1.798291,0,16.90663,10,29.36573,8,293,10.1,0,5.8851617,0,8.1260234,"ONION DRY ETC","ONION DRY ETC",884.4413,15.63,21.15,146.0581
2021,.45,1500007,"31S29E21",0,93.71155,1,27,14.16401,6.616174,1.928329,4.30697,0,.3808749,12,40.10204,8,335,12.1,5.9549779,6.7585533,0,4.3332053,"SWEET POTATO","SWEET POTATO",886.6671,15.63,21.15,138.8813
2021,.45,1500007,"31S29E21",0,42.8408,1,27,14.16401,3.024624,0,2.674201,0,.3504222,12,40.10204,8,335,12.1,0,6.2819716,0,4.2499043,"CARROT","CARROT",886.6671,15.63,21.15,138.8813
2022,.45,1500007,"31S29E21",0,426.1895,1,27,28.32802,15.0448,0,1.824008,0,5.412878,11,23.60613,8,332,10.9,0,5.8993613,0,6.9870991,"CARROT","CARROT",917.0185,15.63,21.15,95.97516
2023,.45,1500007,"31S29E21",0,264.9542,1,27,14.16401,18.70615,.148393,6.324872,3.723924,8.508965,11,51.22422,8,334,11.1,3.3915598,7.1428078,6.6130972,7.4394381,"CARROT","CARROT",886.6671,15.63,21.15,257.4339
2023,.45,1500007,"31S29E21",0,0,1,27,14.16401,0,0,0,0,0,11,51.22422,8,334,11.1,0,0,0,0,"BARLEY FOR/FOD","BARLEY FOR/FOD",886.6671,12.78563,20.79,257.4339
2019,.45,1500007,"31S29E21",0,344.1144,1,27,28.32802,12.14749,.5122018,5.635663,0,5.935809,1,188.8055,8,351,1.1,4.629376,7.0274329,0,7.0793215,"POTATO","POTATO",1118.147,15.41769,20.79,260.7758
2020,0,1500007,"31S29E21",0,460.7847,0,27,12.14058,37.95409,36.25934,.0326914,0,.6177747,10,29.36573,,293,10.1,8.8890143,1.9002868,0,4.8167515,"ALMOND","ALMOND",884.4413,15.79,22.59,146.6244
2021,0,1500007,"31S29E21",0,119.1495,0,27,12.14058,9.814153,.2319411,5.879947,0,.4952285,12,40.10204,,335,12.1,3.8375097,7.0698658,0,4.5956834,"ALMOND","ALMOND",886.6671,15.79,22.59,140.4959
2022,0,1500007,"31S29E21",0,545.5896,0,27,12.14058,44.93933,36.42308,8.017471,0,.4987779,11,23.60613,,332,10.9,8.8935201,7.3799408,0,4.6028235,"ALMOND","ALMOND",917.0185,15.79,22.59,95.82541
2023,0,1500007,"31S29E21",0,130.4479,0,27,12.14058,10.74478,.2219151,8.567188,0,.3860279,11,51.22422,,334,11.1,3.793364,7.4462573,0,4.3466396,"ALMOND","ALMOND",886.6671,15.79,22.59,268.0284
2019,0,1500007,"31S29E21",0,55.32728,0,27,12.14058,4.557219,.5064267,.0489064,0,.8705683,1,188.8055,,351,1.1,4.6180391,2.2907621,0,5.1597412,"ALMOND","ALMOND",1118.147,15.79,22.59,265.3818
2020,.18,1500007,"31S29E21",1,464.9163,24,27,25.09053,18.52955,.02316,6.433958,0,0,10,29.36573,1,293,10.1,1.5766407,7.1599079,0,0,"ALMOND","ALMOND",884.4413,9.003333,14.94,144.8436
2021,.18,1500007,"31S29E21",0,191.2201,24,27,25.09053,7.621205,0,3.509001,0,0,12,40.10204,1,335,12.1,0,6.5536507,0,0,"ALMOND","ALMOND",886.6671,9.003333,14.94,139.6436
2022,.18,1500007,"31S29E21",0,1190.985,24,27,25.09053,47.46749,35.83679,8.115939,0,.3762546,11,23.60613,1,332,10.9,8.8772925,7.3921477,0,4.3210048,"ALMOND","ALMOND",917.0185,9.003333,14.94,93.28431
2023,.18,1500007,"31S29E21",0,284.7008,24,27,25.09053,11.34694,.825128,8.566552,0,.3860096,11,51.22422,1,334,11.1,5.1061373,7.446183,0,4.3465922,"ALMOND","ALMOND",886.6671,9.003333,14.94,278.0379
2019,.18,1500007,"31S29E21",0,0,24,27,25.09053,0,0,0,0,0,1,188.8055,1,351,1.1,0,0,0,0,"INDUSTRIAL HEMP","INDUSTRIAL HEMP",1118.147,9.003333,14.94,267.7357
2019,0,1500007,"31S29E21",0,40.94411,0,27,30.35145,1.349,0,1.17349,0,.1755104,11,7.449638,,317,11.1,0,5.4583175,0,3.5590711,"CARROT","CARROT",1118.147,5.35,10.08,267.4165
2020,0,1500007,"31S29E21",0,502.6623,0,27,30.35145,16.56139,.0559649,1.401062,3.563369,5.694185,10,29.36573,,293,10.1,2.4231755,5.6355603,6.5690258,7.0377636,"CARROT","CARROT",884.4413,5.35,10.08,144.8117
2021,0,1500007,"31S29E21",0,6139.312,0,27,15.17572,404.5482,.5647839,5.476324,0,8.442777,12,40.10204,,335,12.1,4.7270836,6.9987522,0,7.4316289,"CARROT","CARROT",886.6671,5.35,10.08,139.6116
2021,0,1500007,"31S29E21",0,4862.218,0,27,15.17572,320.3945,1.364299,11.72871,0,10.89017,12,40.10204,,335,12.1,5.6089714,7.7603571,0,7.6861783,"POTATO","POTATO",886.6671,3.888,7.11,139.6116
2022,0,1500007,"31S29E21",0,0,0,27,30.35145,0,0,0,0,0,11,23.60613,,332,10.9,0,0,0,0,"WHEAT","WHEAT",917.0185,5.35,10.08,92.70978
2023,0,1500007,"31S29E21",0,437.9858,0,27,30.35145,14.43047,2.953305,2.600704,0,4.972505,11,51.22422,,334,11.1,6.381245,6.2541033,0,6.9022422,"TOMATO PROCESS","TOMATO PROCESS",886.6671,5.35,10.08,276.9846
2019,0,1500007,"31S29E21",0,907.2028,0,27,30.35145,29.88993,.9971972,2.153425,26.50626,.2330529,1,188.8055,,351,1.1,5.2955358,6.0653825,8.5756982,3.8422875,"SWEET POTATO","SWEET POTATO",1118.147,5.168077,7.56,267.4165
2020,0,1500007,"31S29E21",0,65.73456,0,27,9.712464,6.768063,1.929429,4.372528,0,.4661059,10,29.36573,,293,10.1,5.955548,6.7736599,0,4.53509,"SWEET POTATO","SWEET POTATO",884.4413,10.77,16.56,145.4036
2020,0,1500007,"31S29E21",0,27.63185,0,27,9.105435,3.034655,0,2.683234,0,.3514203,10,29.36573,,293,10.1,0,6.2853438,0,4.2527473,"CARROT","CARROT",884.4413,10.77,16.56,145.4036
2021,0,1500007,"31S29E21",0,242.6917,0,27,18.21087,13.32675,.0209438,1.823313,3.563368,4.02125,12,40.10204,,335,12.1,1.4850639,5.8989803,6.5690256,6.6899118,"CARROT","CARROT",886.6671,10.77,16.56,138.4629
2022,0,1500007,"31S29E21",0,0,0,27,18.21087,0,0,0,0,0,11,23.60613,,332,10.9,0,0,0,0,"WHEAT","WHEAT",917.0185,10.77,16.56,94.78275
2023,0,1500007,"31S29E21",0,345.1492,0,27,9.105435,37.90584,.1488269,6.325444,3.724377,12.09136,11,51.22422,,334,11.1,3.394473,7.1428983,6.6132188,7.7908089,"CARROT","CARROT",886.6671,10.77,16.56,259.3798
2023,0,1500007,"31S29E21",0,0,0,27,9.105435,0,0,0,0,0,11,51.22422,,334,11.1,0,0,0,0,"BARLEY FOR/FOD","BARLEY FOR/FOD",886.6671,8.386875,13.59,259.3798
2019,0,1500007,"31S29E21",0,0,0,27,19.42493,0,0,0,0,0,1,188.8055,,351,1.1,0,0,0,0,"INDUSTRIAL HEMP","INDUSTRIAL HEMP",1118.147,10.77,16.56,261.04
2020,0,1500007,"31S29E21",0,0,0,27,5.260918,0,0,0,0,0,10,29.36573,,293,10.1,0,0,0,0,"GRAPE, WINE","GRAPE, WINE",884.4413,7.576667,13.05,144.7
2021,0,1500007,"31S29E21",0,572.5007,0,27,5.260918,108.8214,.0766488,0,108.7448,0,12,40.10204,,335,12.1,2.734025,0,9.9873211,0,"GRAPE, WINE","GRAPE, WINE",886.6671,7.576667,13.05,139.5
2022,0,1500007,"31S29E21",0,381.9635,0,27,5.260918,72.60396,.1074291,0,72.49653,0,11,23.60613,,332,10.9,3.0695521,0,9.581856,0,"GRAPE, WINE","GRAPE, WINE",917.0185,7.576667,13.05,90.7
2023,0,1500007,"31S29E21",0,329.9324,0,27,5.260918,62.71384,.1032043,0,62.61064,0,11,51.22422,,334,11.1,3.029612,0,9.4352526,0,"GRAPE, WINE","GRAPE, WINE",886.6671,7.576667,13.05,273.3
2019,0,1500007,"31S29E21",0,63.56638,0,27,5.260918,12.08276,0,0,12.08276,0,1,188.8055,,351,1.1,0,0,7.7900968,0,"GRAPE, WINE","GRAPE, WINE",1118.147,7.576667,13.05,266.3
2020,0,1500007,"31S28E25",0,2255.837,0,27,58.67947,38.44337,36.25897,0,0,.6178925,10,29.36573,,293,10.1,8.8890041,0,0,4.816942,"ALMOND","ALMOND",884.4413,34.67333,49.41,144.2
2021,0,1500007,"31S28E25",0,587.6887,0,27,58.67947,10.01524,.3831975,5.928971,0,.4952948,12,40.10204,,335,12.1,4.3392828,7.0781687,0,4.595817,"ALMOND","ALMOND",886.6671,34.67333,49.41,133.9
2022,0,1500007,"31S28E25",0,2913.214,0,27,58.67947,49.64622,36.42267,8.017828,0,.498849,11,23.60613,,332,10.9,8.8935089,7.3799853,0,4.602966,"ALMOND","ALMOND",917.0185,34.67333,49.41,94.4
2023,0,1500007,"31S28E25",0,841.7756,0,27,58.67947,14.34532,.6973975,11.69296,0,.3860035,11,51.22422,,334,11.1,4.9379691,7.7573043,0,4.3465763,"ALMOND","ALMOND",886.6671,34.67333,49.41,254.4
2019,0,1500007,"31S28E25",0,799.3296,0,27,58.67947,13.62196,.5622103,5.849199,0,.8707155,1,188.8055,,351,1.1,4.7225171,7.0646229,0,5.1599103,"ALMOND","ALMOND",1118.147,34.67333,49.41,248.4
2020,.27,1500007,"31S29E27",1,104.2834,27,27,30.35145,3.435863,1.016618,2.186193,0,.2330529,10,29.36573,1,293,10.1,5.3148229,6.080484,0,3.8422875,"SWEET POTATO","SWEET POTATO",884.4413,4.79,9.54,144.7
